0.009901	-4.900990
0.019802	-4.801980
0.029703	-4.702970
0.039604	-4.603960
0.049505	-4.504950
0.059406	-4.405941
0.069307	-4.306931
0.079208	-4.207921
0.089109	-4.108911
0.099010	-4.009901
0.108911	-3.910891
0.118812	-3.811881
0.128713	-3.712871
0.138614	-3.613861
0.148515	-3.514851
0.158416	-3.415842
0.168317	-3.316832
0.178218	-3.217822
0.188119	-3.118812
0.198020	-3.019802
0.207921	-2.920792
0.217822	-2.821782
0.227723	-2.722772
0.237624	-2.623762
0.247525	-2.524752
0.257426	-2.425743
0.267327	-2.326733
0.277228	-2.227723
0.287129	-2.128713
0.297030	-2.029703
0.306931	-1.930693
0.316832	-1.831683
0.326733	-1.732673
0.336634	-1.633663
0.346535	-1.534653
0.356436	-1.435644
0.366337	-1.336634
0.376238	-1.237624
0.386139	-1.138614
0.396040	-1.039604
0.405941	-0.940594
0.415842	-0.841584
0.425743	-0.742574
0.435644	-0.643564
0.445545	-0.544554
0.455446	-0.445545
0.465347	-0.346535
0.475248	-0.247525
0.485149	-0.148515
0.495050	-0.049505
0.504950	0.049505
0.514851	0.148515
0.524752	0.247525
0.534653	0.346535
0.544554	0.445545
0.554455	0.544554
0.564356	0.643564
0.574257	0.742574
0.584158	0.841584
0.594059	0.940594
0.603960	1.039604
0.613861	1.138614
0.623762	1.237624
0.633663	1.336634
0.643564	1.435644
0.653465	1.534653
0.663366	1.633663
0.673267	1.732673
0.683168	1.831683
0.693069	1.930693
0.702970	2.029703
0.712871	2.128713
0.722772	2.227723
0.732673	2.326733
0.742574	2.425743
0.752475	2.524752
0.762376	2.623762
0.772277	2.722772
0.782178	2.821782
0.792079	2.920792
0.801980	3.019802
0.811881	3.118812
0.821782	3.217822
0.831683	3.316832
0.841584	3.415842
0.851485	3.514851
0.861386	3.613861
0.871287	3.712871
0.881188	3.811881
0.891089	3.910891
0.900990	4.009901
0.910891	4.108911
0.920792	4.207921
0.930693	4.306931
0.940594	4.405941
0.950495	4.504950
0.960396	4.603960
0.970297	4.702970
0.980198	4.801980
0.990099	4.900990
